wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Spanish,2,Poor,Heuristic pairing assessment.,Syrah/Shiraz,smoked sausage
Grenache,Red,charcuterie board,Salty Snack,French,3,Neutral,Heuristic pairing assessment.,Grenache,charcuterie board
Madeira,Fortified,lemon tart,Dessert,French,4,Good,Acidic wine balances acidic food.,Madeira,lemon tart
Cabernet Sauvignon,Red,roast lamb,Red Meat,Mexican,5,Excellent,Tannic red complements red meat fat.,Cabernet Sauvignon,roast lamb
Viognier,White,duck à l’orange,Poultry,Vietnamese,2,Poor,Heuristic pairing assessment.,Viognier,duck à l’orange
Pinot Noir,Red,citrus salad,Acidic,Argentinian,4,Good,Acidic wine balances acidic food.,Pinot Noir,citrus salad
Albariño,White,oysters,Seafood,Vietnamese,4,Good,Crisp acidity suits seafood.,Albariño,oysters
Sangiovese,Red,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Sangiovese,citrus salad
Pinot Noir,Red,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Pinot Noir,cheese platter
Grüner Veltliner,White,citrus salad,Acidic,American BBQ,4,Good,Acidic wine balances acidic food.,Grüner Veltliner,citrus salad
Grenache,Red,bacon burger,Pork,Argentinian,4,Good,Heuristic pairing assessment.,Grenache,bacon burger
Sangiovese,Red,chicken curry,Poultry,German,2,Poor,Heavy wine can dominate poultry.,Sangiovese,chicken curry
Sauternes,Dessert,lemon tart,Dessert,Spanish,4,Good,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Sauternes,lemon tart
Cava,Sparkling,charcuterie board,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment.,Cava,charcuterie board
Albariño,White,vegetable curry,Vegetarian,German,3,Neutral,Heuristic pairing assessment.,Albariño,vegetable curry
Viognier,White,alfredo pasta,Creamy,German,4,Good,Richer body matches creamy textures.,Viognier,alfredo pasta
Riesling (dry),White,Thai curry,Spicy,Mexican,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),Thai curry
Chardonnay,White,bacon burger,Pork,Vietnamese,2,Poor,Heuristic pairing assessment.,Chardonnay,bacon burger
Syrah/Shiraz,Red,roast lamb,Red Meat,Thai,5,Excellent,Tannic red complements red meat fat.,Syrah/Shiraz,roast lamb
Viognier,White,roast chicken with herbs,Poultry,Middle Eastern,4,Good,Lighter wines fit poultry.,Viognier,roast chicken with herbs
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.,Grüner Veltliner,shrimp scampi
Nebbiolo,Red,Thai curry,Spicy,American BBQ,3,Neutral,Heuristic pairing assessment.,Nebbiolo,Thai curry
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Spanish,3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,stir-fried tofu
Port,Fortified,cheesecake,Dessert,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Port,cheesecake
Cabernet Sauvignon,Red,beef stew,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,beef stew
Viognier,White,chicken curry,Poultry,Vietnamese,4,Good,Lighter wines fit poultry.,Viognier,chicken curry
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Thai,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,grilled burger
Ice Wine,Dessert,roast chicken with herbs,Poultry,German,2,Poor,Heavy wine can dominate poultry.,Ice Wine,roast chicken with herbs
Gewürztraminer,White,Indian vindaloo,Spicy,Thai,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,Indian vindaloo
Pinot Noir,Red,stir-fried tofu,Vegetarian,French,3,Neutral,Heuristic pairing assessment.,Pinot Noir,stir-fried tofu
Merlot,Red,bacon burger,Pork,Thai,3,Neutral,Heuristic pairing assessment.,Merlot,bacon burger
Sangiovese,Red,mushroom risotto,Vegetarian,French,4,Good,Heuristic pairing assessment.,Sangiovese,mushroom risotto
Champagne,Sparkling,shrimp scampi,Seafood,French,4,Good,Crisp acidity suits seafood.,Champagne,shrimp scampi
Torrontés,White,Thai curry,Spicy,Moroccan,3,Neutral,Heuristic pairing assessment.,Torrontés,Thai curry
Sauternes,Dessert,grilled salmon,Seafood,German,3,Neutral,Tannic reds clash with delicate seafood.,Sauternes,grilled salmon
Madeira,Fortified,mac and cheese,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Madeira,mac and cheese
Ice Wine,Dessert,sorbet,Dessert,Ethiopian,4,Good,Sweet/sparkling pairs with dessert.,Ice Wine,sorbet
Ice Wine,Dessert,oysters,Seafood,Japanese,3,Neutral,Tannic reds clash with delicate seafood.,Ice Wine,oysters
Nebbiolo,Red,grilled ribeye,Red Meat,Thai,2,Poor,Heuristic pairing assessment.,Nebbiolo,grilled ribeye
Port,Fortified,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Port,cheese platter
Chardonnay,White,cream of mushroom soup,Creamy,Mexican,4,Good,Richer body matches creamy textures.,Chardonnay,cream of mushroom soup
Grenache,Red,olives and cheese,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment.,Grenache,olives and cheese
Gewürztraminer,White,mac and cheese,Cheese,Mexican,4,Good,Heuristic pairing assessment.,Gewürztraminer,mac and cheese
Ice Wine,Dessert,chicken curry,Poultry,Vietnamese,1,Terrible,Heavy wine can dominate poultry.,Ice Wine,chicken curry
Riesling (dry),White,Sichuan noodles,Spicy,Korean,4,Good,Heuristic pairing assessment.,Riesling (Dry),Sichuan noodles
Sangiovese,Red,mac and cheese,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Sangiovese,mac and cheese
Cabernet Sauvignon,Red,bbq brisket,Red Meat,German,4,Good,Tannic red complements red meat fat.,Cabernet Sauvignon,bbq brisket
Syrah/Shiraz,Red,grilled burger,Smoky BBQ,Italian,2,Poor,Heuristic pairing assessment.,Syrah/Shiraz,grilled burger
Sauvignon Blanc,White,mushroom risotto,Vegetarian,American BBQ,4,Good,Heuristic pairing assessment.,Sauvignon Blanc,mushroom risotto
Cava,Sparkling,oysters,Seafood,American BBQ,5,Excellent,Crisp acidity suits seafood.,Cava,oysters
Malbec,Red,grilled burger,Smoky BBQ,Greek,2,Poor,Heuristic pairing assessment.,Malbec,grilled burger
Chardonnay,White,fondue,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Chardonnay,fondue
Sauternes,Dessert,vegetable curry,Vegetarian,German,3,Neutral,Heuristic pairing assessment.,Sauternes,vegetable curry
Pinot Noir,Red,roast chicken with herbs,Poultry,Greek,3,Neutral,Lighter wines fit poultry.,Pinot Noir,roast chicken with herbs
Ice Wine,Dessert,charcuterie board,Salty Snack,Chinese (Sichuan),4,Good,Heuristic pairing assessment.,Ice Wine,charcuterie board
Ice Wine,Dessert,bacon burger,Pork,American BBQ,2,Poor,Heuristic pairing assessment.,Ice Wine,bacon burger
Chardonnay,White,cheese platter,Cheese,French,3,Neutral,Heuristic pairing assessment.,Chardonnay,cheese platter
Madeira,Fortified,fondue,Cheese,Japanese,4,Good,Heuristic pairing assessment.,Madeira,fondue
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,Argentinian,4,Good,Heuristic pairing assessment.,Syrah/Shiraz,bbq ribs
Champagne,Sparkling,olives and cheese,Salty Snack,Middle Eastern,2,Poor,Heuristic pairing assessment.,Champagne,olives and cheese
Nebbiolo,Red,carbonara,Pork,Chinese (Sichuan),3,Neutral,Too lean for creamy dish.,Nebbiolo,carbonara
Nebbiolo,Red,bbq brisket,Red Meat,Thai,4,Good,Tannic red complements red meat fat.,Nebbiolo,bbq brisket
Zinfandel,Red,bbq ribs,Smoky BBQ,Moroccan,3,Neutral,Heuristic pairing assessment.,Zinfandel,bbq ribs
Gewürztraminer,White,Sichuan noodles,Spicy,Italian,2,Poor,Heuristic pairing assessment.,Gewürztraminer,Sichuan noodles
Viognier,White,mac and cheese,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Viognier,mac and cheese
Sauternes,Dessert,duck à l’orange,Poultry,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.,Sauternes,duck à l’orange
Grenache,Red,cream of mushroom soup,Creamy,Spanish,1,Terrible,Too lean for creamy dish.,Grenache,cream of mushroom soup
Malbec,Red,bbq brisket,Red Meat,Mexican,3,Neutral,Tannic red complements red meat fat.,Malbec,bbq brisket
Cabernet Sauvignon,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,fondue
Pinot Noir,Red,chicken curry,Poultry,Japanese,4,Good,Lighter wines fit poultry.,Pinot Noir,chicken curry
Malbec,Red,smoked sausage,Smoky BBQ,Korean,4,Good,Heuristic pairing assessment.,Malbec,smoked sausage
Grenache,Red,pork tenderloin,Pork,Thai,4,Good,Light/medium red suits richer poultry/pork.,Grenache,pork tenderloin
Grüner Veltliner,White,chocolate mousse,Dessert,Middle Eastern,2,Poor,Dry table wine clashes with dessert sweetness.,Grüner Veltliner,chocolate mousse
Chardonnay,White,chicken curry,Poultry,Japanese,4,Good,Lighter wines fit poultry.,Chardonnay,chicken curry
Port,Fortified,fondue,Cheese,German,3,Neutral,Heuristic pairing assessment.,Port,fondue
Gewürztraminer,White,Thai curry,Spicy,Greek,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,Thai curry
Merlot,Red,pork tenderloin,Pork,Ethiopian,4,Good,Light/medium red suits richer poultry/pork.,Merlot,pork tenderloin
Pinot Noir,Red,beef stew,Red Meat,Greek,3,Neutral,Heuristic pairing assessment.,Pinot Noir,beef stew
Malbec,Red,bbq ribs,Smoky BBQ,Mexican,2,Poor,Heuristic pairing assessment.,Malbec,bbq ribs
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Korean,2,Poor,Heuristic pairing assessment.,Ice Wine,bbq ribs
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Ethiopian,4,Good,Heuristic pairing assessment.,Cabernet Sauvignon,grilled ribeye
Chardonnay,White,carbonara,Creamy,Greek,5,Excellent,Richer body matches creamy textures.,Chardonnay,carbonara
Merlot,Red,carbonara,Pork,Greek,3,Neutral,Too lean for creamy dish.,Merlot,carbonara
Merlot,Red,mixed nuts,Salty Snack,Indian,3,Neutral,Heuristic pairing assessment.,Merlot,mixed nuts
Viognier,White,bacon burger,Pork,Indian,2,Poor,Heuristic pairing assessment.,Viognier,bacon burger
Sauternes,Dessert,chocolate mousse,Dessert,Italian,4,Good,Sweet/sparkling pairs with dessert.,Sauternes,chocolate mousse
Nebbiolo,Red,Sichuan noodles,Spicy,Moroccan,2,Poor,Heuristic pairing assessment.,Nebbiolo,Sichuan noodles
Zinfandel,Red,grilled burger,Smoky BBQ,Argentinian,3,Neutral,Heuristic pairing assessment.,Zinfandel,grilled burger
Viognier,White,carbonara,Pork,French,4,Good,Richer body matches creamy textures.,Viognier,carbonara
Malbec,Red,roast lamb,Red Meat,Thai,4,Good,Tannic red complements red meat fat.,Malbec,roast lamb
Sauternes,Dessert,pork tenderloin,Pork,French,3,Neutral,Heuristic pairing assessment.,Sauternes,pork tenderloin
Champagne,Sparkling,grilled salmon,Seafood,Spanish,4,Good,Crisp acidity suits seafood.,Champagne,grilled salmon
Sauternes,Dessert,stir-fried tofu,Vegetarian,Middle Eastern,4,Good,Heuristic pairing assessment.,Sauternes,stir-fried tofu
Sauvignon Blanc,White,shrimp scampi,Seafood,American BBQ,4,Good,Crisp acidity suits seafood.,Sauvignon Blanc,shrimp scampi
Merlot,Red,olives and cheese,Salty Snack,Vietnamese,4,Good,Heuristic pairing assessment.,Merlot,olives and cheese
Champagne,Sparkling,fish tacos,Seafood,Argentinian,4,Good,Crisp acidity suits seafood.,Champagne,fish tacos
Riesling (dry),White,roast lamb,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.,Riesling (Dry),roast lamb
Sangiovese,Red,caprese salad,Acidic,Korean,3,Neutral,Heuristic pairing assessment.,Sangiovese,caprese salad
Zinfandel,Red,smoked sausage,Smoky BBQ,Ethiopian,3,Neutral,Heuristic pairing assessment.,Zinfandel,smoked sausage
Grüner Veltliner,White,mushroom risotto,Vegetarian,French,3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,mushroom risotto
Grenache,Red,carbonara,Pork,Spanish,2,Poor,Too lean for creamy dish.,Grenache,carbonara
Nebbiolo,Red,roast lamb,Red Meat,Chinese (Sichuan),4,Good,Tannic red complements red meat fat.,Nebbiolo,roast lamb
Grüner Veltliner,White,vegetable curry,Vegetarian,German,4,Good,Heuristic pairing assessment.,Grüner Veltliner,vegetable curry
Malbec,Red,beef stew,Red Meat,Spanish,4,Good,Heuristic pairing assessment.,Malbec,beef stew
Pinot Noir,Red,mushroom risotto,Vegetarian,Greek,2,Poor,Heuristic pairing assessment.,Pinot Noir,mushroom risotto
Albariño,White,cheesecake,Dessert,French,1,Terrible,Dry table wine clashes with dessert sweetness.,Albariño,cheesecake
Merlot,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Merlot,cheese platter
Sauvignon Blanc,White,alfredo pasta,Creamy,Moroccan,1,Terrible,Too lean for creamy dish.,Sauvignon Blanc,alfredo pasta
Cava,Sparkling,grilled salmon,Seafood,German,4,Good,Crisp acidity suits seafood.,Cava,grilled salmon
Nebbiolo,Red,beef stew,Red Meat,Spanish,3,Neutral,Heuristic pairing assessment.,Nebbiolo,beef stew
Syrah/Shiraz,Red,beef stew,Red Meat,Moroccan,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,beef stew
Ice Wine,Dessert,carbonara,Pork,Argentinian,5,Excellent,Richer body matches creamy textures.,Ice Wine,carbonara
Sauternes,Dessert,chicken curry,Poultry,American BBQ,3,Neutral,Heavy wine can dominate poultry.,Sauternes,chicken curry
Barbera,Red,mac and cheese,Cheese,Greek,4,Good,Heuristic pairing assessment.,Barbera,mac and cheese
Sauternes,Dessert,fish tacos,Seafood,Middle Eastern,2,Poor,Tannic reds clash with delicate seafood.,Sauternes,fish tacos
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,Thai,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,bbq ribs
Champagne,Sparkling,oysters,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.,Champagne,oysters
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,3,Neutral,Off-dry sweetness calms spice.,Riesling (Dry),Indian vindaloo
Port,Fortified,lemon tart,Dessert,Vietnamese,1,Terrible,Low-acid wine seems flabby vs acids.,Port,lemon tart
Pinot Noir,Red,vegetable curry,Vegetarian,French,3,Neutral,Heuristic pairing assessment.,Pinot Noir,vegetable curry
Port,Fortified,chocolate mousse,Dessert,Indian,3,Neutral,Heuristic pairing assessment.,Port,chocolate mousse
Sauternes,Dessert,mushroom risotto,Vegetarian,Spanish,2,Poor,Heuristic pairing assessment.,Sauternes,mushroom risotto
Chardonnay,White,duck à l’orange,Poultry,Middle Eastern,2,Poor,Heuristic pairing assessment.,Chardonnay,duck à l’orange
Ice Wine,Dessert,mushroom risotto,Vegetarian,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.,Ice Wine,mushroom risotto
Sangiovese,Red,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Heuristic pairing assessment.,Sangiovese,stir-fried tofu
Port,Fortified,mac and cheese,Cheese,Thai,3,Neutral,Heuristic pairing assessment.,Port,mac and cheese
Syrah/Shiraz,Red,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,grilled ribeye
Sauternes,Dessert,carbonara,Pork,Korean,4,Good,Richer body matches creamy textures.,Sauternes,carbonara
Sauternes,Dessert,grilled burger,Smoky BBQ,Korean,3,Neutral,Heuristic pairing assessment.,Sauternes,grilled burger
Sauternes,Dessert,cheese platter,Cheese,Korean,5,Excellent,Idealized perfect pairing example for contrast.,Sauternes,cheese platter
Sangiovese,Red,vegetable curry,Vegetarian,Chinese (Sichuan),4,Good,Heuristic pairing assessment.,Sangiovese,vegetable curry
Chenin Blanc,White,fondue,Cheese,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,fondue
Sauvignon Blanc,White,oysters,Seafood,Indian,5,Excellent,Crisp acidity suits seafood.,Sauvignon Blanc,oysters
Syrah/Shiraz,Red,bbq brisket,Red Meat,Middle Eastern,4,Good,Tannic red complements red meat fat.,Syrah/Shiraz,bbq brisket
Merlot,Red,cream of mushroom soup,Creamy,Greek,1,Terrible,Too lean for creamy dish.,Merlot,cream of mushroom soup
Merlot,Red,charcuterie board,Salty Snack,American BBQ,3,Neutral,Heuristic pairing assessment.,Merlot,charcuterie board
Grenache,Red,alfredo pasta,Creamy,Korean,1,Terrible,Too lean for creamy dish.,Grenache,alfredo pasta
Champagne,Sparkling,bbq brisket,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.,Champagne,bbq brisket
Provence Rosé,Rosé,grilled ribeye,Red Meat,Thai,5,Excellent,Idealized perfect pairing example for contrast.,Provence Rosé,grilled ribeye
Malbec,Red,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.,Malbec,grilled ribeye
Torrontés,White,Sichuan noodles,Spicy,Indian,3,Neutral,Heuristic pairing assessment.,Torrontés,Sichuan noodles
Sauternes,Dessert,bbq ribs,Smoky BBQ,Ethiopian,4,Good,Heuristic pairing assessment.,Sauternes,bbq ribs
Ice Wine,Dessert,grilled burger,Smoky BBQ,American BBQ,2,Poor,Heuristic pairing assessment.,Ice Wine,grilled burger
Sangiovese,Red,gazpacho,Acidic,Indian,4,Good,Acidic wine balances acidic food.,Sangiovese,gazpacho
Nebbiolo,Red,bacon burger,Pork,German,2,Poor,Heuristic pairing assessment.,Nebbiolo,bacon burger
Provence Rosé,Rosé,citrus salad,Acidic,Greek,4,Good,Acidic wine balances acidic food.,Provence Rosé,citrus salad
Sauternes,Dessert,bacon burger,Pork,Argentinian,4,Good,Heuristic pairing assessment.,Sauternes,bacon burger
Malbec,Red,fondue,Cheese,Moroccan,3,Neutral,Heuristic pairing assessment.,Malbec,fondue
Viognier,White,pork tenderloin,Pork,Argentinian,2,Poor,Heuristic pairing assessment.,Viognier,pork tenderloin
Albariño,White,alfredo pasta,Creamy,American BBQ,2,Poor,Too lean for creamy dish.,Albariño,alfredo pasta
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Heuristic pairing assessment.,Ice Wine,stir-fried tofu
Albariño,White,fish tacos,Seafood,German,5,Excellent,Crisp acidity suits seafood.,Albariño,fish tacos
Albariño,White,shrimp scampi,Seafood,German,5,Excellent,Crisp acidity suits seafood.,Albariño,shrimp scampi
Nebbiolo,Red,cream of mushroom soup,Creamy,Indian,1,Terrible,Too lean for creamy dish.,Nebbiolo,cream of mushroom soup
Sauternes,Dessert,roast chicken with herbs,Poultry,Italian,3,Neutral,Heavy wine can dominate poultry.,Sauternes,roast chicken with herbs
Sauvignon Blanc,White,grilled salmon,Seafood,French,4,Good,Crisp acidity suits seafood.,Sauvignon Blanc,grilled salmon
Albariño,White,grilled salmon,Seafood,Vietnamese,5,Excellent,Crisp acidity suits seafood.,Albariño,grilled salmon
Chardonnay,White,pork tenderloin,Pork,Argentinian,2,Poor,Heuristic pairing assessment.,Chardonnay,pork tenderloin
Gamay (Beaujolais),Red,oysters,Seafood,Greek,2,Poor,Tannic reds clash with delicate seafood.,Gamay (Beaujolais),oysters
Cava,Sparkling,olives and cheese,Salty Snack,Mexican,4,Good,Heuristic pairing assessment.,Cava,olives and cheese
Tempranillo,Red,fondue,Cheese,French,2,Poor,Heuristic pairing assessment.,Tempranillo,fondue
