wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food,text,cluster
Grüner Veltliner,White,bbq brisket,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.,Grüner Veltliner,bbq brisket,Grüner Veltliner Delicate wine overwhelmed by red meat.,3
Albariño,White,cream of mushroom soup,Creamy,Argentinian,2,Poor,Too lean for creamy dish.,Albariño,cream of mushroom soup,Albariño Too lean for creamy dish.,6
Sauvignon Blanc,White,bbq brisket,Red Meat,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.,Sauvignon Blanc,bbq brisket,Sauvignon Blanc Idealized perfect pairing example for contrast.,5
Ice Wine,Dessert,gazpacho,Acidic,Japanese,5,Excellent,Acidic wine balances acidic food.,Ice Wine,gazpacho,Ice Wine Acidic wine balances acidic food.,1
Sangiovese,Red,roast lamb,Red Meat,Korean,4,Good,Tannic red complements red meat fat.,Sangiovese,roast lamb,Sangiovese Tannic red complements red meat fat.,3
Pinot Noir,Red,grilled ribeye,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,Pinot Noir,grilled ribeye,Pinot Noir Heuristic pairing assessment.,7
Tempranillo,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Tempranillo,cheese platter,Tempranillo Heuristic pairing assessment.,0
Malbec,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Malbec,cheese platter,Malbec Heuristic pairing assessment.,0
Merlot,Red,gazpacho,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Merlot,gazpacho,Merlot Acidic wine balances acidic food.,1
Champagne,Sparkling,fondue,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Champagne,fondue,Champagne Heuristic pairing assessment.,0
Nebbiolo,Red,gazpacho,Acidic,Spanish,4,Good,Acidic wine balances acidic food.,Nebbiolo,gazpacho,Nebbiolo Acidic wine balances acidic food.,1
Nebbiolo,Red,citrus salad,Acidic,Indian,4,Good,Acidic wine balances acidic food.,Nebbiolo,citrus salad,Nebbiolo Acidic wine balances acidic food.,1
Port,Fortified,caprese salad,Acidic,Italian,3,Neutral,Heuristic pairing assessment.,Port,caprese salad,Port Heuristic pairing assessment.,0
Grenache,Red,citrus salad,Acidic,Italian,3,Neutral,Acidic wine balances acidic food.,Grenache,citrus salad,Grenache Acidic wine balances acidic food.,1
Cava,Sparkling,fondue,Cheese,Italian,4,Good,Heuristic pairing assessment.,Cava,fondue,Cava Heuristic pairing assessment.,0
Provence Rosé,Rosé,caprese salad,Acidic,French,4,Good,Heuristic pairing assessment.,Provence Rosé,caprese salad,Provence Rosé Heuristic pairing assessment.,0
Barbera,Red,caprese salad,Acidic,Italian,3,Neutral,Heuristic pairing assessment.,Barbera,caprese salad,Barbera Heuristic pairing assessment.,0
Gewürztraminer,White,bbq brisket,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.,Gewürztraminer,bbq brisket,Gewürztraminer Delicate wine overwhelmed by red meat.,3
Torrontés,White,cheese platter,Cheese,Vietnamese,2,Poor,Heuristic pairing assessment.,Torrontés,cheese platter,Torrontés Heuristic pairing assessment.,0
Viognier,White,gazpacho,Acidic,Middle Eastern,1,Terrible,Low-acid wine seems flabby vs acids.,Viognier,gazpacho,Viognier Low-acid wine seems flabby vs acids.,6
White Zinfandel,Rosé,gazpacho,Acidic,Thai,5,Excellent,Idealized perfect pairing example for contrast.,White Zinfandel,gazpacho,White Zinfandel Idealized perfect pairing example for contrast.,5
Barbera,Red,gazpacho,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Barbera,gazpacho,Barbera Acidic wine balances acidic food.,1
Syrah/Shiraz,Red,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,mac and cheese,Syrah/Shiraz Heuristic pairing assessment.,0
Barbera,Red,bbq brisket,Red Meat,Indian,3,Neutral,Delicate wine overwhelmed by red meat.,Barbera,bbq brisket,Barbera Delicate wine overwhelmed by red meat.,3
Sauvignon Blanc,White,fondue,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,fondue,Sauvignon Blanc Heuristic pairing assessment.,0
Albariño,White,beef stew,Red Meat,Indian,4,Good,Heuristic pairing assessment.,Albariño,beef stew,Albariño Heuristic pairing assessment.,0
Grüner Veltliner,White,gazpacho,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Grüner Veltliner,gazpacho,Grüner Veltliner Acidic wine balances acidic food.,1
Champagne,Sparkling,beef stew,Red Meat,Vietnamese,3,Neutral,Heuristic pairing assessment.,Champagne,beef stew,Champagne Heuristic pairing assessment.,0
Port,Fortified,roast lamb,Red Meat,Chinese (Sichuan),1,Terrible,Delicate wine overwhelmed by red meat.,Port,roast lamb,Port Delicate wine overwhelmed by red meat.,3
Albariño,White,cheese platter,Cheese,French,3,Neutral,Heuristic pairing assessment.,Albariño,cheese platter,Albariño Heuristic pairing assessment.,0
Sauvignon Blanc,White,grilled ribeye,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,grilled ribeye,Sauvignon Blanc Heuristic pairing assessment.,0
Grenache,Red,mac and cheese,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Grenache,mac and cheese,Grenache Heuristic pairing assessment.,0
Riesling (dry),White,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.,Riesling (Dry),grilled ribeye,Riesling (Dry) Heuristic pairing assessment.,0
Riesling (dry),White,mac and cheese,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),mac and cheese,Riesling (Dry) Heuristic pairing assessment.,0
Torrontés,White,roast lamb,Red Meat,Thai,3,Neutral,Delicate wine overwhelmed by red meat.,Torrontés,roast lamb,Torrontés Delicate wine overwhelmed by red meat.,3
Pinot Noir,Red,roast lamb,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Pinot Noir,roast lamb,Pinot Noir Delicate wine overwhelmed by red meat.,3
White Zinfandel,Rosé,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,White Zinfandel,roast lamb,White Zinfandel Delicate wine overwhelmed by red meat.,3
Zinfandel,Red,citrus salad,Acidic,American BBQ,4,Good,Acidic wine balances acidic food.,Zinfandel,citrus salad,Zinfandel Acidic wine balances acidic food.,1
Merlot,Red,caprese salad,Acidic,Thai,2,Poor,Heuristic pairing assessment.,Merlot,caprese salad,Merlot Heuristic pairing assessment.,0
Sauvignon Blanc,White,citrus salad,Acidic,Korean,3,Neutral,Acidic wine balances acidic food.,Sauvignon Blanc,citrus salad,Sauvignon Blanc Acidic wine balances acidic food.,1
Sangiovese,Red,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Sangiovese,cheese platter,Sangiovese Heuristic pairing assessment.,0
Riesling (dry),White,gazpacho,Acidic,Spanish,4,Good,Acidic wine balances acidic food.,Riesling (Dry),gazpacho,Riesling (Dry) Acidic wine balances acidic food.,1
Riesling (dry),White,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Riesling (Dry),citrus salad,Riesling (Dry) Acidic wine balances acidic food.,1
Zinfandel,Red,gazpacho,Acidic,French,5,Excellent,Idealized perfect pairing example for contrast.,Zinfandel,gazpacho,Zinfandel Idealized perfect pairing example for contrast.,5
Zinfandel,Red,caprese salad,Acidic,Mexican,4,Good,Heuristic pairing assessment.,Zinfandel,caprese salad,Zinfandel Heuristic pairing assessment.,0
Madeira,Fortified,bbq brisket,Red Meat,Thai,3,Neutral,Delicate wine overwhelmed by red meat.,Madeira,bbq brisket,Madeira Delicate wine overwhelmed by red meat.,3
Provence Rosé,Rosé,beef stew,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Provence Rosé,beef stew,Provence Rosé Heuristic pairing assessment.,0
Gewürztraminer,White,roast lamb,Red Meat,Thai,2,Poor,Delicate wine overwhelmed by red meat.,Gewürztraminer,roast lamb,Gewürztraminer Delicate wine overwhelmed by red meat.,3
Ice Wine,Dessert,bbq brisket,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.,Ice Wine,bbq brisket,Ice Wine Delicate wine overwhelmed by red meat.,3
Grenache,Red,grilled ribeye,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.,Grenache,grilled ribeye,Grenache Heuristic pairing assessment.,0
White Zinfandel,Rosé,fondue,Cheese,Italian,4,Good,Heuristic pairing assessment.,White Zinfandel,fondue,White Zinfandel Heuristic pairing assessment.,0
Torrontés,White,bbq brisket,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.,Torrontés,bbq brisket,Torrontés Delicate wine overwhelmed by red meat.,3
White Zinfandel,Rosé,mac and cheese,Cheese,Italian,4,Good,Heuristic pairing assessment.,White Zinfandel,mac and cheese,White Zinfandel Heuristic pairing assessment.,0
Port,Fortified,citrus salad,Acidic,Ethiopian,2,Poor,Low-acid wine seems flabby vs acids.,Port,citrus salad,Port Low-acid wine seems flabby vs acids.,6
Viognier,White,beef stew,Red Meat,Italian,2,Poor,Heuristic pairing assessment.,Viognier,beef stew,Viognier Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Gamay (Beaujolais),fondue,Gamay (Beaujolais) Heuristic pairing assessment.,0
Port,Fortified,bbq brisket,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Port,bbq brisket,Port Delicate wine overwhelmed by red meat.,3
Sauvignon Blanc,White,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Sauvignon Blanc,roast lamb,Sauvignon Blanc Delicate wine overwhelmed by red meat.,3
Madeira,Fortified,caprese salad,Acidic,Thai,3,Neutral,Heuristic pairing assessment.,Madeira,caprese salad,Madeira Heuristic pairing assessment.,0
Albariño,White,sorbet,Dessert,Japanese,2,Poor,Dry table wine clashes with dessert sweetness.,Albariño,sorbet,Albariño Dry table wine clashes with dessert sweetness.,6
Chenin Blanc,White,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,mac and cheese,Chenin Blanc Heuristic pairing assessment.,0
Chenin Blanc,White,grilled ribeye,Red Meat,Argentinian,4,Good,Heuristic pairing assessment.,Chenin Blanc,grilled ribeye,Chenin Blanc Heuristic pairing assessment.,0
Albariño,White,citrus salad,Acidic,Spanish,1,Terrible,Deliberately bad pairing example for contrast.,Albariño,citrus salad,Albariño Deliberately bad pairing example for contrast.,5
Grüner Veltliner,White,beef stew,Red Meat,Indian,2,Poor,Heuristic pairing assessment.,Grüner Veltliner,beef stew,Grüner Veltliner Heuristic pairing assessment.,0
Cava,Sparkling,gazpacho,Acidic,German,4,Good,Acidic wine balances acidic food.,Cava,gazpacho,Cava Acidic wine balances acidic food.,1
Sauternes,Dessert,gazpacho,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Sauternes,gazpacho,Sauternes Acidic wine balances acidic food.,1
Torrontés,White,citrus salad,Acidic,Korean,4,Good,Acidic wine balances acidic food.,Torrontés,citrus salad,Torrontés Acidic wine balances acidic food.,1
Grüner Veltliner,White,roast lamb,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Grüner Veltliner,roast lamb,Grüner Veltliner Delicate wine overwhelmed by red meat.,3
Barbera,Red,fondue,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Barbera,fondue,Barbera Heuristic pairing assessment.,0
Riesling (dry),White,beef stew,Red Meat,Greek,5,Excellent,Idealized perfect pairing example for contrast.,Riesling (Dry),beef stew,Riesling (Dry) Idealized perfect pairing example for contrast.,5
Sauvignon Blanc,White,mac and cheese,Cheese,Ethiopian,4,Good,Heuristic pairing assessment.,Sauvignon Blanc,mac and cheese,Sauvignon Blanc Heuristic pairing assessment.,0
Riesling (dry),White,fondue,Cheese,Middle Eastern,4,Good,Heuristic pairing assessment.,Riesling (Dry),fondue,Riesling (Dry) Heuristic pairing assessment.,0
Torrontés,White,gazpacho,Acidic,Japanese,4,Good,Acidic wine balances acidic food.,Torrontés,gazpacho,Torrontés Acidic wine balances acidic food.,1
Viognier,White,grilled ribeye,Red Meat,American BBQ,2,Poor,Heuristic pairing assessment.,Viognier,grilled ribeye,Viognier Heuristic pairing assessment.,0
Merlot,Red,grilled ribeye,Red Meat,Spanish,3,Neutral,Heuristic pairing assessment.,Merlot,grilled ribeye,Merlot Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,beef stew,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,Gamay (Beaujolais),beef stew,Gamay (Beaujolais) Heuristic pairing assessment.,0
Gewürztraminer,White,gazpacho,Acidic,Spanish,2,Poor,Low-acid wine seems flabby vs acids.,Gewürztraminer,gazpacho,Gewürztraminer Low-acid wine seems flabby vs acids.,6
Grenache,Red,gazpacho,Acidic,Middle Eastern,4,Good,Acidic wine balances acidic food.,Grenache,gazpacho,Grenache Acidic wine balances acidic food.,1
Gamay (Beaujolais),Red,mac and cheese,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Gamay (Beaujolais),mac and cheese,Gamay (Beaujolais) Heuristic pairing assessment.,0
Syrah/Shiraz,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,fondue,Syrah/Shiraz Heuristic pairing assessment.,0
Gewürztraminer,White,grilled ribeye,Red Meat,Moroccan,2,Poor,Heuristic pairing assessment.,Gewürztraminer,grilled ribeye,Gewürztraminer Heuristic pairing assessment.,0
Sauternes,Dessert,caprese salad,Acidic,Greek,2,Poor,Heuristic pairing assessment.,Sauternes,caprese salad,Sauternes Heuristic pairing assessment.,0
Sauternes,Dessert,bbq brisket,Red Meat,Mexican,3,Neutral,Delicate wine overwhelmed by red meat.,Sauternes,bbq brisket,Sauternes Delicate wine overwhelmed by red meat.,3
Malbec,Red,citrus salad,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Malbec,citrus salad,Malbec Acidic wine balances acidic food.,1
Chardonnay,White,roast lamb,Red Meat,Ethiopian,2,Poor,Delicate wine overwhelmed by red meat.,Chardonnay,roast lamb,Chardonnay Delicate wine overwhelmed by red meat.,3
Cava,Sparkling,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Cava,citrus salad,Cava Acidic wine balances acidic food.,1
Provence Rosé,Rosé,bbq brisket,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Provence Rosé,bbq brisket,Provence Rosé Delicate wine overwhelmed by red meat.,3
Merlot,Red,roast lamb,Red Meat,Spanish,4,Good,Tannic red complements red meat fat.,Merlot,roast lamb,Merlot Tannic red complements red meat fat.,3
Champagne,Sparkling,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Champagne,citrus salad,Champagne Acidic wine balances acidic food.,1
Viognier,White,bbq brisket,Red Meat,Chinese (Sichuan),3,Neutral,Delicate wine overwhelmed by red meat.,Viognier,bbq brisket,Viognier Delicate wine overwhelmed by red meat.,3
Ice Wine,Dessert,caprese salad,Acidic,Italian,3,Neutral,Heuristic pairing assessment.,Ice Wine,caprese salad,Ice Wine Heuristic pairing assessment.,6
White Zinfandel,Rosé,cheese platter,Cheese,Argentinian,3,Neutral,Heuristic pairing assessment.,White Zinfandel,cheese platter,White Zinfandel Heuristic pairing assessment.,0
Albariño,White,gazpacho,Acidic,Ethiopian,3,Neutral,Acidic wine balances acidic food.,Albariño,gazpacho,Albariño Acidic wine balances acidic food.,1
Merlot,Red,beef stew,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.,Merlot,beef stew,Merlot Heuristic pairing assessment.,0
Malbec,Red,gazpacho,Acidic,Thai,4,Good,Acidic wine balances acidic food.,Malbec,gazpacho,Malbec Acidic wine balances acidic food.,1
Chardonnay,White,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Chardonnay,citrus salad,Chardonnay Acidic wine balances acidic food.,1
Cabernet Sauvignon,Red,citrus salad,Acidic,Italian,4,Good,Acidic wine balances acidic food.,Cabernet Sauvignon,citrus salad,Cabernet Sauvignon Acidic wine balances acidic food.,1
Sauternes,Dessert,beef stew,Red Meat,Ethiopian,4,Good,Heuristic pairing assessment.,Sauternes,beef stew,Sauternes Heuristic pairing assessment.,0
Nebbiolo,Red,mac and cheese,Cheese,Japanese,4,Good,Heuristic pairing assessment.,Nebbiolo,mac and cheese,Nebbiolo Heuristic pairing assessment.,0
Champagne,Sparkling,caprese salad,Acidic,Moroccan,3,Neutral,Heuristic pairing assessment.,Champagne,caprese salad,Champagne Heuristic pairing assessment.,0
Barbera,Red,citrus salad,Acidic,Chinese (Sichuan),4,Good,Acidic wine balances acidic food.,Barbera,citrus salad,Barbera Acidic wine balances acidic food.,1
Syrah/Shiraz,Red,caprese salad,Acidic,Indian,2,Poor,Heuristic pairing assessment.,Syrah/Shiraz,caprese salad,Syrah/Shiraz Heuristic pairing assessment.,0
Sauvignon Blanc,White,cheese platter,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,cheese platter,Sauvignon Blanc Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,gazpacho,Acidic,Korean,5,Excellent,Acidic wine balances acidic food.,Gamay (Beaujolais),gazpacho,Gamay (Beaujolais) Acidic wine balances acidic food.,1
Tempranillo,Red,gazpacho,Acidic,Thai,5,Excellent,Acidic wine balances acidic food.,Tempranillo,gazpacho,Tempranillo Acidic wine balances acidic food.,1
Chardonnay,White,caprese salad,Acidic,Japanese,5,Excellent,Idealized perfect pairing example for contrast.,Chardonnay,caprese salad,Chardonnay Idealized perfect pairing example for contrast.,5
Port,Fortified,gazpacho,Acidic,Thai,2,Poor,Low-acid wine seems flabby vs acids.,Port,gazpacho,Port Low-acid wine seems flabby vs acids.,6
Sangiovese,Red,grilled ribeye,Red Meat,Japanese,4,Good,Heuristic pairing assessment.,Sangiovese,grilled ribeye,Sangiovese Heuristic pairing assessment.,0
Gewürztraminer,White,caprese salad,Acidic,American BBQ,2,Poor,Heuristic pairing assessment.,Gewürztraminer,caprese salad,Gewürztraminer Heuristic pairing assessment.,0
Nebbiolo,Red,caprese salad,Acidic,Indian,3,Neutral,Heuristic pairing assessment.,Nebbiolo,caprese salad,Nebbiolo Heuristic pairing assessment.,0
Sauvignon Blanc,White,beef stew,Red Meat,Korean,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,beef stew,Sauvignon Blanc Heuristic pairing assessment.,0
Tempranillo,Red,citrus salad,Acidic,Japanese,5,Excellent,Acidic wine balances acidic food.,Tempranillo,citrus salad,Tempranillo Acidic wine balances acidic food.,1
Syrah/Shiraz,Red,citrus salad,Acidic,Korean,4,Good,Acidic wine balances acidic food.,Syrah/Shiraz,citrus salad,Syrah/Shiraz Acidic wine balances acidic food.,1
Merlot,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Merlot,fondue,Merlot Heuristic pairing assessment.,0
Chardonnay,White,gazpacho,Acidic,Indian,3,Neutral,Acidic wine balances acidic food.,Chardonnay,gazpacho,Chardonnay Acidic wine balances acidic food.,1
Madeira,Fortified,citrus salad,Acidic,Middle Eastern,4,Good,Acidic wine balances acidic food.,Madeira,citrus salad,Madeira Acidic wine balances acidic food.,1
Viognier,White,citrus salad,Acidic,Indian,1,Terrible,Low-acid wine seems flabby vs acids.,Viognier,citrus salad,Viognier Low-acid wine seems flabby vs acids.,6
Provence Rosé,Rosé,gazpacho,Acidic,Indian,3,Neutral,Acidic wine balances acidic food.,Provence Rosé,gazpacho,Provence Rosé Acidic wine balances acidic food.,1
Chenin Blanc,White,caprese salad,Acidic,Indian,4,Good,Heuristic pairing assessment.,Chenin Blanc,caprese salad,Chenin Blanc Heuristic pairing assessment.,0
Sauvignon Blanc,White,caprese salad,Acidic,Indian,5,Excellent,Idealized perfect pairing example for contrast.,Sauvignon Blanc,caprese salad,Sauvignon Blanc Idealized perfect pairing example for contrast.,5
Champagne,Sparkling,gazpacho,Acidic,Ethiopian,4,Good,Acidic wine balances acidic food.,Champagne,gazpacho,Champagne Acidic wine balances acidic food.,1
Torrontés,White,caprese salad,Acidic,Argentinian,3,Neutral,Heuristic pairing assessment.,Torrontés,caprese salad,Torrontés Heuristic pairing assessment.,0
Torrontés,White,grilled ribeye,Red Meat,American BBQ,2,Poor,Heuristic pairing assessment.,Torrontés,grilled ribeye,Torrontés Heuristic pairing assessment.,0
